Behaviour,min,max,step,default
T_SFC,-5,50,1,25
RH_SFC,100,5,-1,30
Tdew_SFC,45,-6,-1,6
WindMagKmh_SFC,0,70,1,20
drought_index,0,200,1,100
DF_SFC,1,10,1,8
precipitation,100,0,-1,0
time_since_rain,0,48,1,48
AWAP_uf,0,1,0.1,0
time_since_fire,0,25,1,25
Curing_SFC,0,100,10,100
grass_condition,1,3,1,2
GrassFuelLoad_SFC,1,12,0.5,4.5
FHS_s,1,4,0.5,3
FHS_ns,1,4,0.5,3
FL_s,0,20,1,10
FL_el,0,8,0.5,2
FL_b,0,8,0.5,2
FL_o,0,15,0.5,4.5
FL_total,0,30,1,12
Fk_s,0,1,0.1,0.3
Fk_ns,0,1,0.1,0.3
Fk_el,0,1,0.1,0.3
Fk_b,0,1,0.1,0.3
Fk_o,0,1,0.1,0.3
Fk_total,0,1,0.1,0.3
Hk_ns,0,1,0.1,0.3
H_ns,0,40,5,20
H_el,0,4,0.5,2
H_o,10,60,5,20
Cov_o,100,0,-10,40
WF_Sav,0.3,1,0.1,0.5
WF_Heath,0.3,0.7,0.1,0.7
WRF_For,5,2.5,-0.5,3
Prod_BG,1,2,1,2
Prod_S,1,3,1,1